Column,ID_cost,costo_per_wp
649,36347,"0,445"
650,36364,"0,445"
651,34003,"0,205"
652,31742,"0,196"
653,41743,"0,285"
654,36592,"0,165"
655,36156,"0,191"
656,41592,"0,156"
657,37470,"0,729"
658,44857,"0,178"
659,43850,"0,162"
660,35817,"0,8"
661,34001,"0,222"
662,24295,"0,24"
663,42848,"0,18"
664,39077,"0,165"
665,38415,"0,267"
666,9149,"0,49"
667,9647,"0,445"
668,30145,"0,285"
669,37452,"0,271"
670,42007,"0,222"
671,44650,"0,158"
672,39265,"0,205"
673,31206,"0,178"
674,36365,"0,445"
675,42685,"0,178"
676,43714,"0,209"
677,33811,"0,15"
678,36514,"0,178"
679,40428,"0,222"
680,44651,"0,158"
681,44792,"0,172"
682,36873,"0,169"
683,38028,"0,219"
684,43688,"0,178"
685,42628,"0,196"
686,43054,"0,219"
687,42620,"0,213"
688,44383,"0,16"
689,44840,"0,156"
690,43173,"0,189"
691,43229,"0,2"
692,44428,"0,178"
693,43667,"0,213"
694,43678,"0,178"
695,44437,"0,156"
696,43613,"0,169"
697,43817,"0,142"
698,44182,"0,158"
699,34006,"0,187"
700,44459,"0,395"
701,31484,"0,889"
702,43343,"0,157"
703,39273,"0,267"
704,42622,"0,213"
705,36868,"0,169"
706,43684,"0,178"
707,29102,"0,169"
708,43053,"0,219"
709,26929,"0,205"
710,41989,"0,196"
711,36472,"0,31"
712,45014,"0,153"
713,39866,"0,196"
714,29261,"0,46"
715,38485,"0,211"
716,43359,"0,187"
717,43896,"0,196"
718,39233,"0,187"
719,18599,"0,16"
720,39563,"0,311"
721,39561,"1,33"
722,45008,"0,187"
723,43171,"0,189"
724,31491,"0,265"
725,36500,"0,178"
726,44817,"0,16"
727,36373,"0,445"
728,31723,"0,224"
729,37937,"0,206"
730,9141,"0,755"
731,43298,"0,16"
732,29751,"0,222"
733,37659,"0,165"
734,35671,"0,187"
735,37312,"0,302"
736,32655,"0,165"
737,42922,"0,165"
738,36553,"0,22"
739,31437,"0,314"
740,44584,"0,172"
741,43776,"0,142"
742,35965,"0,178"
743,41657,"0,187"
744,41912,"0,227"
745,36555,"0,22"
746,42636,"0,196"
747,44388,"0,165"
748,41905,"0,34"
749,39254,"0,151"
750,44848,"0,196"
751,36655,"0,293"
752,30671,"0,165"
753,44246,"0,169"
754,42726,"0,222"
755,44429,"0,178"
756,44933,"0,205"
757,43848,"0,165"
758,44997,"0,173"
759,42803,"0,17"
760,35091,"0,169"
761,30146,"0,26"
762,38583,"0,178"
763,43966,"0,196"
764,25834,"0,267"
765,36372,"0,445"
766,44029,"0,165"
767,36860,"0,756"
768,38419,"0,267"
769,37313,"0,302"
770,42871,"0,172"
771,43625,"0,187"
772,42481,"0,328"
773,44627,"0,311"
774,36511,"0,178"
775,36343,"0,445"
776,44589,"0,172"
777,38013,"0,196"
778,39270,"0,24"
779,32100,"0,205"
780,24307,"0,178"
781,41982,"0,222"
782,24287,"0,249"
783,43851,"0,165"
784,40307,"0,141"
785,40787,"0,272"
786,36558,"0,23"
787,36368,"0,445"
788,42637,"0,213"
789,43167,"0,196"
790,36682,"0,205"
791,29104,"0,267"
792,37463,"0,222"
793,30674,"0,165"
794,41805,"0,157"
795,39624,"0,157"
796,43170,"0,208"
797,30667,"0,157"
798,43968,"0,196"
799,39830,"0,356"
800,44791,"0,176"
801,43685,"0,178"
802,39872,"0,151"
803,43814,"0,159"
804,36660,"0,276"
